exp_id	commit_hash	timestamp	status	composite_score	best_test_mse	focus_fn	focus_fp	pearson	best_epoch	wall_minutes	notes
exp_001	943f44d	2026-05-13T19:11:04	crashed	NaN	NaN	NaN	NaN	NaN	NaN	NaN	infra crash: PYTHONPATH missing losses.py when running python /content/code/train.py
exp_002	1a9e658	2026-05-13T20:52:00	ok+improved	879212	0.002694	1148919	1123434	0.9808	39	120	AsymmetricMSE under_penalty=2.0; eval run locally after fixing eval.py kwarg bugs
exp_003	4891767	2026-05-14T01:03:00	constraint_fail	1000000000	0.003406	1178042	1311700	0.9759	55	140	AsymmetricMSE under_penalty=3.0; MSE 0.003406 > cap 0.003378; reverted
exp_004	1f00a68	2026-05-14T03:24:00	constraint_fail	1000000000	0.003899	839437	1918367	0.9743	49	120	AsymmetricMSE under_penalty=5.0; both constraints violated; reverted
exp_005	800947e	2026-05-14T07:08:00	constraint_fail	1000000000	0.003536	809114	1421643	0.9752	39	120	SmoothAsymmetricHuberLoss delta=0.1 alpha=3.0; MSE 0.003536 > cap; reverted
exp_006	658f678	2026-05-14T09:30:00	constraint_fail	1000000000	0.003796	667009	1722786	0.9745	33	120	SmoothAsymmetricHuberLoss delta=0.1 alpha=5.0; both constraints violated; reverted
exp_007	351ed94	2026-05-14T12:45:00	constraint_fail	1000000000	0.003575	922523	1593912	0.9756	41	110	SmoothAsymmetricHuberLoss delta=0.05 alpha=3.0; MSE 0.003575 > cap; FP within cap; reverted
exp_008	303e0a8	2026-05-14T15:00:00	ok	918703	0.002923	918703	1157340	0.9791	80	120	AsymMSE alpha=2.0 + Adam wd=1e-5; valid but score worse than best (879212); reverted
exp_009	88d827e	2026-05-14T17:30:00	ok	903535	0.002823	903535	1135922	0.9798	47	120	AsymMSE alpha=2.0 + AdamW wd=1e-4; valid but score worse than best (879212); reverted
exp_010	483492b	2026-05-14T20:00:00	ok+improved	863353	0.003080	863353	1302956	0.9781	42	120	AsymMSE alpha=2.5; NEW BEST 863353 < 879212; kept
exp_011	b14b57f	2026-05-15T00:00:00	ok+improved	826686	0.003256	826686	1474090	0.9774	35	120	AsymMSE alpha=2.75; NEW BEST 826686 < 863353; kept
exp_012	a8cd92a	2026-05-15T02:00:00	ok+improved	818324	0.003266	818324	1432722	0.9771	34	120	AsymMSE alpha=2.875; NEW BEST 818324 < 826686; kept
exp_013	4ee9715	2026-05-15T04:00:00	ok+improved	806127	0.003269	806127	1506902	0.9771	31	120	AsymMSE alpha=2.9375; NEW BEST 806127; MSE plateau at ~0.003270; kept
exp_014	0e9327e	2026-05-16T00:08:56	ok+improved	800402	0.002997	800402	1314139	0.9789	43	118	AsymMSE alpha=3.0 (retry); MSE 0.002997 << cap (variance vs exp_003 which failed at 0.003406); composite 800402 < 806127; kept
exp_015	d6261c1	2026-05-16T00:56:15	ok+improved	737676	0.003200	737676	1549216	0.9774	35	96	AsymMSE alpha=2.9375 + dropout=0.0 (L4 pivot, parallel w/ exp_014); NEW BEST 737676; big jump (-62k); kept
exp_016	7009328	2026-05-16T08:35:00	constraint_fail	1000000000	0.003477	NaN	1677823	0.9756	NaN	~80	AsymMSE alpha=3.0 + dropout=0.0 (compound); BOTH constraints failed (MSE 0.003477>cap, FP 1677823>cap); dropout=0.0 amplifies FP at high α; reverted
exp_017	56af1c4	2026-05-16T08:52:00	constraint_fail	1000000000	0.003818	NaN	1556341	0.9725	NaN	~85	AsymMSE alpha=2.9375 + dropout=0.0 + grad_clip=1.0 (L4); MSE 0.003818>cap; higher grad_clip destabilized; reverted
exp_018	0b62b7d	2026-05-16T09:13:00	ok+improved	695629	0.002817	695629	1431727	0.9800	NaN	~95	AsymMSE alpha=2.9375 + dropout=0.0 + lr=2e-4 (L4); NEW BEST 695629 (-42k from exp_015); doubled lr is a big win
exp_019	a208bae	2026-05-16T10:07:00	time_limit	1000000000	NaN	NaN	NaN	NaN	NaN	150	AsymMSE alpha=2.9375 + dropout=0.0 + lr=5e-5 (L4); SLURM time limit at epoch 124/200; test MSE ~0.0055 plateau (>>cap); lr too slow; reverted
exp_020	5963d20	2026-05-16T09:13:00	ok	853149	0.003017	853149	1156023	0.9780	NaN	~85	AsymMSE alpha=2.9375 + dropout=0.0 + batch_size=64 (L4); passed both constraints but composite 853149 > exp_015 best; bs=64 worse; reverted
exp_021	924b2d7	2026-05-16T09:56:00	ok+improved	734871	0.002844	734871	1251095	0.9796	NaN	~95	AsymMSE alpha=3.125 + dropout=0.0 (further α push); composite 734871 < exp_015 (737676); marginal improvement but superseded by exp_018; not kept (replaced by exp_018 as best)
exp_022	5adf775	2026-05-16T09:23:28	crashed	1000000000	0.004159	NaN	NaN	NaN	31	86	weight_norm(output_layer Linears); train MSE 0.004159>cap AND eval.py crashed (state_dict mismatch — weight_g/weight_v keys vs eval's unwrapped model); L3 not usable without eval.py changes (forbidden); reverted
exp_023	9b8ca84	2026-05-16T14:00:00	ok	738080	0.002736	738080	1268015	0.9803	NaN	~95	AsymMSE alpha=3.0 + dropout=0.0 + lr=2e-4 (compound push); passed constraints; composite 738080 > exp_018 best 695629; α push at new lr hurts; reverted
exp_024	52fa497	2026-05-16T14:10:00	ok	816723	0.003341	816723	1501838	0.9761	NaN	~95	AsymMSE alpha=3.125 + dropout=0.0 + lr=2e-4 (further α push); passed but composite 816723 > exp_018; α=3.125 with lr=2e-4 too aggressive; reverted
exp_025	9b17688	2026-05-16T14:15:00	ok	731990	0.003020	731990	1476849	0.9786	NaN	~95	AsymMSE alpha=2.9375 + dropout=0.0 + lr=3e-4 (push lr further); passed but composite 731990 > exp_018; lr=2e-4 is near-optimal, 3e-4 slightly worse; reverted
exp_026	b5e3b37	2026-05-16T20:38:42	time_limit	1000000000	NaN	NaN	NaN	NaN	NaN	150	exp_018 config + Adam weight_decay=1e-5 (L2 lever — paper's run3 had this); SLURM time limit at epoch 123/200; test MSE plateaued ~0.0045 (>>cap); wd actively prevented convergence; reverted
exp_027	abd497f	2026-05-16T20:30:00	ok	730649	0.002658	730649	1248464	0.9809	NaN	~135	exp_018 config + --patience 80 (longer training); passed but composite 730649 > exp_018 (695629); patience extension didn't help — best epoch found within original window; reverted
exp_028	78d066b	2026-05-16T20:00:00	ok	697679	0.002565	697679	1310370	0.9817	NaN	~95	exp_018 config + --no_warmup (flat LR, paper match); composite 697679 ≈ exp_018 (695629); within noise; flat LR is essentially equivalent to warmup+cosine here; reverted (exp_018 still slightly better)
